Sex_mother ,time_interval,F1_Males,F1_Females,F1_Hermaphrodites,
Female,104h-112h,1,0,1,
Female,104h-112h,0,0,5,
Female,104h-112h,0,0,0,
Female,104h-112h,0,0,0,
Female,104h-112h,0,0,0,
Female,104h-112h,0,0,1,
Female,104h-112h,0,0,7,
Female,104h-112h,0,0,7,
Female,104h-112h,0,0,1,
Female,112h-120h,0,0,1,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,1,
Female,112h-120h,0,0,5,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,6,
Female,112h-120h,0,0,10,
Female,112h-120h,1,0,2,
Female,112h-120h,0,0,3,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,2,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,0,
Female,112h-120h,0,0,3,
Female,112h-120h,0,0,1,
Female,120h-128h,0,0,5,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,2,
Female,120h-128h,0,0,8,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,6,
Female,120h-128h,0,0,4,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,1,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,0,
Female,120h-128h,0,0,1,
Female,120h-128h,0,0,2,
Female,120h-128h,0,0,0,
Female,128h-136h,0,0,0,
Female,128h-136h,0,0,0,
